YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Alt,Effect,ConsumptionPattern,Sex,AgeGroup
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,55.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,56.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, breast (females only)",12.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, colorectal",19.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, liver",20.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, liver",31.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, oral cavity and pharyngeal",12.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, oral cavity and pharyngeal",19.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,20.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,62.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Hypertension,25.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Hypertension,90.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,"Stroke, hemorrhagic",23.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,"Stroke, ischemic",31.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",104.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",121.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",25.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),10.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),54.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),82.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,115.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,23.0,Harmful Effects,Any Alcohol Use,Overall,0-19
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,28.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,68.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,85.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Fall injuries,13.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Fire injuries,13.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,113.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,15.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,22.0,Harmful Effects,Any Alcohol Use,Overall,0-19
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,32.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,68.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Acute,Suicide,Suicide,37.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Suicide,Suicide,49.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Suicide,Suicide,50.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,11.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,17.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,30.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,133.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,55.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,56.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, breast (females only)",10.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, breast (females only)",23.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, colorectal",17.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, colorectal",34.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, esophageal",17.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, liver",22.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, liver",34.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, oral cavity and pharyngeal",19.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Cancer,"Cancer, oral cavity and pharyngeal",31.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Atrial fibrillation,17.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,12.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,36.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Hypertension,100.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Hypertension,11.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,Hypertension,33.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,"Stroke, hemorrhagic",14.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,"Stroke, hemorrhagic",42.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,Heart Disease and Stroke,"Stroke, ischemic",11.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",104.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",121.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",25.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,11.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),11.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),13.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,11.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Acute,Other Acute Causes,Homicide,12.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Acute,Suicide,Suicide,11.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Acute,Suicide,Suicide,19.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,12.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,12.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,14.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,25.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,41.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AK,Alaska,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,11.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),11.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),13.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,11.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Acute,Other Acute Causes,Homicide,12.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Acute,Suicide,Suicide,11.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Acute,Suicide,Suicide,19.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,12.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,12.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,14.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,25.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AK,Alaska,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,41.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,10.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,36.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,38.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),12.0,Harmful Effects,Excessive Alcohol Use,Overall,0-19
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),120.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),125.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),130.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),24.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,114.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,21.0,Harmful Effects,Excessive Alcohol Use,Overall,0-19
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,36.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,77.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,84.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Fall injuries,19.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Fall injuries,30.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,14.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,15.0,Harmful Effects,Excessive Alcohol Use,Overall,0-19
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,26.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,47.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,82.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AZ,Arizona,ARDI,Acute,Suicide,Suicide,15.0,Harmful Effects,Excessive Alcohol Use,Overall,0-19
2015,2019,AZ,Arizona,ARDI,Acute,Suicide,Suicide,70.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Suicide,Suicide,73.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Suicide,Suicide,80.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AZ,Arizona,ARDI,Acute,Suicide,Suicide,81.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,22.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,24.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,45.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,41.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,47.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,93.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,185.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,207.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,369.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic psychosis,12.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, breast (females only)",21.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, colorectal",11.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, colorectal",30.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, esophageal",14.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, liver",28.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, liver",47.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, oral cavity and pharyngeal",10.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,Cancer,"Cancer, oral cavity and pharyngeal",22.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Heart Disease and Stroke,Atrial fibrillation,16.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,132.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,28.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,Heart Disease and Stroke,Hypertension,233.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Heart Disease and Stroke,Hypertension,37.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Chronic,Heart Disease and Stroke,"Stroke, hemorrhagic",28.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,Heart Disease and Stroke,"Stroke, ischemic",33.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",123.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",19.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",73.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,NH,New Hampshire,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,10.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,10.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,36.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,38.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),12.0,Harmful Effects,Any Alcohol Use,Overall,0-19
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),120.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),125.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),130.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),24.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,114.0,Harmful Effects,Any Alcohol Use,Overall,20-34
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,21.0,Harmful Effects,Any Alcohol Use,Overall,0-19
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,36.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,77.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,84.0,Harmful Effects,Any Alcohol Use,Overall,35-49
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Fall injuries,19.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Fall injuries,30.0,Harmful Effects,Any Alcohol Use,Overall,50-64
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,14.0,Harmful Effects,Any Alcohol Use,Overall,65+
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,15.0,Harmful Effects,Any Alcohol Use,Overall,0-19
2015,2019,AZ,Arizona,ARDI,Acute,Other Acute Causes,Homicide,26.0,Harmful Effects,Any Alcohol Use,Overall,50-64
