,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Alt,Effect,ConsumptionPattern,Sex,AgeCategory,AgeGroup
30,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,14.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
31,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,142.0,Harmful Effects,Any Alcohol Use,Overall,Other,20-34
32,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),206.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
33,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),307.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
34,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),435.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
35,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,10.0,Harmful Effects,Any Alcohol Use,Overall,Other,20-34
36,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),4987.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
37,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,152.0,Harmful Effects,Any Alcohol Use,Overall,Other,20-34
38,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),5537.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
39,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,142.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
40,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),5656.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
41,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),6085.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
42,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,10.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
43,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),856.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
44,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,1173.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
45,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,152.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
46,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,1191.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
47,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,12650.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
48,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,2820.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
49,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,3059.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
50,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,3100.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
51,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,391.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
52,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,4707.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
53,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,170.0,Harmful Effects,Any Alcohol Use,Overall,Other,35-49
54,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,801.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
55,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,66.0,Harmful Effects,Any Alcohol Use,Overall,Other,35-49
56,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,850.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
57,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,9590.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
58,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,1.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
59,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,11.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
60,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,14.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
61,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,15.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
62,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,19.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
63,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,2.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
64,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,2.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
65,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,2.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
66,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,22.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
67,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,61.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
68,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,71.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
69,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,0.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
70,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,1.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
71,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,1.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
72,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,1.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
73,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,134.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
74,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,171.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
75,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,191.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
76,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,25.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
77,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,304.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
78,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,79.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
79,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,9.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
81,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,0.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
83,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,0.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
84,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,0.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
85,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,0.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
86,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,146.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
87,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,146.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
88,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,146.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
89,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,60.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
90,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,60.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
91,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,86.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
92,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,86.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
93,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,1117.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
94,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,12.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
95,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,234.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
96,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,252.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
97,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,259.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
98,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,272.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
99,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,274.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
100,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,78.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
101,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,86.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
102,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,865.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
103,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,97.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
104,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,1126.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
105,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,159.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
106,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,1590.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
107,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,20.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
108,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,2267.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
109,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,24.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
110,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,29.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
111,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,317.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
112,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,5.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
113,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,645.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
114,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,677.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
115,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,11.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
116,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,1124.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
117,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,15.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
118,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,151.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
119,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,20.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
120,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,339.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
121,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,448.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
122,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,525.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
123,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,676.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
124,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,8.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
125,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fire injuries,94.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
126,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,110.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
127,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,131.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
128,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,17.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
129,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,18.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
130,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,19.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
131,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,2.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
132,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,22.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
133,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,22.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
134,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,24.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
135,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,25.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
136,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Firearm injuries,47.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
137,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,1121.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
138,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,1154.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
139,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,156.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
140,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,1633.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
141,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,2079.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
142,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,3911.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
143,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,484.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
144,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,6829.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
145,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,833.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
146,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,8462.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
147,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Homicide,965.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
148,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,1.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
149,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,114.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
150,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,124.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
151,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,183.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
152,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,23.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
153,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,241.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
154,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,3.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
155,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,3.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
156,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,365.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
157,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,4.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
158,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Hypothermia,43.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
159,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,11.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
160,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,136.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
161,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,183.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
162,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,3.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
163,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,30.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
164,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,33.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
165,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,43.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
166,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,47.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
167,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,68.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
168,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,8.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
169,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Motor vehicle nontraffic crashes,9.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
170,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,0.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
171,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,115.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
172,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,122.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
173,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,14.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
174,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,2.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
175,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,21.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
176,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,3.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
177,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,3.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
178,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,35.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
179,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,50.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
180,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Occupational and machine injuries,8.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
181,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Other road vehicle crashes,10.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
182,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Other road vehicle crashes,10.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
183,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Other road vehicle crashes,13.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
