,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Effect,ConsumptionPattern,Sex,AgeCategory,AgeGroup,LocationID,ConditionTypeID,CategoryID,Cause_of_DeathID,EffectID,ConsumptionID,SexID,AgeCategoryID,AgeGroupID,DataValueTypeID,DataValueUnitId
56,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,850,850.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
57,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,9590,9590.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
58,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,1,1.0,,,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENF,UN21,Age21,AAD,5YEARSAVG
59,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
60,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
61,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,15,15.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
62,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,19,19.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
63,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,2,2.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
64,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,2,2.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
65,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,2,2.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
66,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,22,22.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
67,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,61,61.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
68,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Air-space transport,Alcohol-attributable deaths,5 years average,71,71.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT9,AIRTRA,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
69,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,0,0.0,,,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENF,UN21,Age21,AAD,5YEARSAVG
70,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,1,1.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
71,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,1,1.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
72,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,1,1.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
73,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,134,134.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
74,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,171,171.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
75,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,191,191.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
76,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,25,25.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
77,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,304,304.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
78,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,79,79.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
79,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Aspiration,Alcohol-attributable deaths,5 years average,9,9.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT9,ASPIRA,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
81,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,0,0.0,§,Child maltreatment: Deaths among children aged 0 to 14 years.,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
83,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,0,0.0,§,Child maltreatment: Deaths among children aged 0 to 14 years.,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
84,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,0,0.0,§,Child maltreatment: Deaths among children aged 0 to 14 years.,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
85,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,0,0.0,§,Child maltreatment: Deaths among children aged 0 to 14 years.,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
86,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,146,146.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
87,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,146,146.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
88,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,146,146.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
89,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,60,60.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
90,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,60,60.0,,,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENF,UN21,Age21,AAD,5YEARSAVG
91,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,86,86.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
92,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Child maltreatment,Alcohol-attributable deaths,5 years average,86,86.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT9,CHLMAL,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
93,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,1117,1117.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
94,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENF,UN21,Age21,AAD,5YEARSAVG
95,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,234,234.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
96,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,252,252.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
97,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,259,259.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
98,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,272,272.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
99,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,274,274.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
100,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,78,78.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
101,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,86,86.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
102,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,865,865.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
103,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,97,97.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
104,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,1126,1126.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
105,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,159,159.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
106,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,1590,1590.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
107,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,20,20.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
108,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,2267,2267.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
109,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,24,24.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
110,2015,2019,US,United States,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,29,29.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
